YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-2.02,0.25,3.99,10.12,12.00,16.50,19.23,17.93,15.45,7.29,3.67,2.67,-0.61,8.70,17.89,8.80,8.70
1881,-6.16,-0.89,1.74,5.47,13.10,15.85,19.44,16.36,12.93,5.59,5.35,0.70,-1.46,6.77,17.22,7.96,7.62
1882,0.67,2.05,6.56,8.06,12.15,14.76,18.39,15.85,14.57,9.06,3.84,0.48,1.14,8.92,16.33,9.16,8.89
1883,-1.19,1.67,-1.50,5.96,12.77,17.08,18.08,16.51,14.55,9.40,4.50,0.91,0.32,5.74,17.22,9.48,8.19
1884,2.96,3.43,4.95,6.42,13.02,14.02,18.67,16.91,14.98,8.32,1.06,1.93,2.43,8.13,16.53,8.12,8.80
1885,-2.46,2.59,2.83,10.17,10.96,17.82,17.93,14.52,13.09,7.97,1.85,-0.26,0.69,7.99,16.76,7.64,8.27
1886,-2.03,-3.37,0.15,9.62,13.15,15.71,16.95,17.54,15.08,9.27,5.22,0.56,-1.89,7.64,16.73,9.86,8.09
1887,-3.57,-0.72,1.81,7.76,11.21,15.72,19.45,16.59,13.63,6.27,3.68,-0.24,-1.24,6.93,17.25,7.86,7.70
1888,-1.59,-3.25,-0.87,6.27,12.71,16.84,15.70,16.16,13.55,6.94,2.76,0.63,-1.69,6.04,16.23,7.75,7.08
1889,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1890,1.66,-2.38,5.20,8.11,15.02,14.97,16.81,18.25,13.93,7.74,2.93,-5.54,-0.08,9.44,16.68,8.20,8.56
1891,-4.35,0.01,3.20,5.27,14.22,15.30,17.85,15.98,14.79,10.60,2.67,1.64,-3.29,7.56,16.38,9.35,7.50
1892,-2.45,0.58,0.95,7.32,12.33,17.06,17.31,19.18,14.73,7.62,1.09,-1.59,-0.08,6.87,17.85,7.81,8.11
1893,-8.58,1.43,4.16,8.42,12.78,16.87,19.18,17.81,12.83,10.52,2.32,0.68,-2.91,8.45,17.95,8.56,8.01
1894,-1.96,2.03,5.17,10.27,12.33,15.47,19.96,16.07,11.75,7.96,4.51,0.02,0.25,9.26,17.17,8.07,8.69
1895,-3.73,-5.06,1.98,9.08,13.91,17.49,18.66,18.11,15.68,7.42,3.94,-1.08,-2.92,8.32,18.09,9.01,8.12
1896,-1.31,-0.04,5.37,6.32,11.61,19.00,18.51,15.93,13.26,9.86,0.79,-1.23,-0.81,7.77,17.81,7.97,8.19
1897,-3.94,-0.74,4.87,7.68,11.67,18.64,17.24,18.56,13.13,7.46,2.30,1.10,-1.97,8.07,18.15,7.63,7.97
1898,2.07,1.51,3.75,7.20,12.85,16.35,14.87,18.91,13.78,7.39,4.66,3.23,1.56,7.93,16.71,8.61,8.70
1899,1.73,1.98,2.96,7.99,12.57,15.23,19.14,17.46,12.91,8.20,6.86,-4.00,2.31,7.84,17.28,9.32,9.19
1900,-0.27,0.34,0.63,6.68,11.74,17.34,19.81,17.61,14.19,9.20,4.33,2.31,-1.31,6.35,18.25,9.24,8.13
1901,-4.34,-3.70,2.56,8.20,14.14,16.57,20.44,17.91,13.44,10.48,2.95,0.31,-1.91,8.30,18.31,8.96,8.41
1902,2.95,-2.31,2.79,6.47,9.55,16.91,16.23,15.00,12.38,6.79,0.60,-3.07,0.32,6.27,16.05,6.59,7.31
1903,-0.07,3.34,6.10,5.24,13.83,16.04,17.98,16.39,14.10,9.34,4.17,-1.02,0.07,8.39,16.80,9.20,8.62
1904,-1.40,0.69,3.01,8.92,12.75,16.71,19.55,17.44,13.03,8.43,3.55,2.61,-0.58,8.23,17.90,8.34,8.47
1905,-1.82,1.85,4.48,5.59,13.69,18.75,19.52,17.53,13.28,5.14,3.36,1.18,0.88,7.92,18.60,7.26,8.67
1906,0.66,1.04,2.57,9.41,15.20,16.51,18.51,17.62,13.76,9.20,6.48,-2.74,0.96,9.06,17.55,9.81,9.35
1907,-0.94,-1.58,2.87,6.38,14.06,16.38,15.53,15.95,13.29,12.39,2.40,0.57,-1.75,7.77,15.95,9.36,7.83
1908,-1.16,1.78,3.11,6.00,13.82,17.98,18.92,16.00,12.76,8.76,0.96,-1.72,0.40,7.64,17.63,7.49,8.29
1909,-1.45,-2.60,1.29,7.47,10.71,15.22,16.30,17.25,13.92,10.98,1.76,1.82,-1.92,6.49,16.26,8.89,7.43
1910,1.36,2.61,3.99,7.97,13.35,18.29,16.40,16.39,12.94,8.90,1.87,2.06,1.93,8.44,17.03,7.90,8.82
1911,-0.25,1.25,4.36,8.19,14.29,15.97,19.44,19.94,14.47,8.86,4.48,1.90,1.02,8.95,18.45,9.27,9.42
1912,-3.80,1.23,6.42,7.18,11.75,16.64,19.91,15.43,10.34,6.85,2.60,3.63,-0.22,8.45,17.33,6.60,8.04
1913,-0.83,1.53,6.13,8.64,13.37,15.83,16.35,16.32,14.32,9.59,6.46,2.61,1.44,9.38,16.17,10.12,9.28
1914,-2.77,3.96,5.00,9.94,11.70,16.04,19.81,18.38,13.55,8.43,3.53,3.66,1.27,8.88,18.08,8.50,9.18
1915,0.02,1.26,0.97,7.85,13.58,17.72,17.41,16.56,12.42,6.27,2.15,2.32,1.65,7.47,17.23,6.95,8.32
1916,3.47,0.50,3.99,9.24,13.65,14.03,17.17,16.89,13.07,8.54,4.79,2.32,2.10,8.96,16.03,8.80,8.97
1917,-2.62,-4.19,-0.54,5.19,15.15,20.15,18.45,18.17,15.47,8.88,5.89,-1.48,-1.50,6.60,18.92,10.08,8.53
1918,0.44,1.48,4.50,11.30,14.44,13.37,17.63,16.68,14.03,9.01,3.08,3.25,0.15,10.08,15.89,8.71,8.71
1919,0.69,-0.08,3.20,6.53,11.35,15.80,15.91,16.96,15.89,7.42,-0.84,-0.12,1.29,7.03,16.22,7.49,8.01
1920,1.80,3.39,7.22,11.02,14.51,14.96,18.86,16.41,13.63,6.92,0.78,-0.36,1.69,10.92,16.74,7.11,9.12
1921,4.11,1.57,6.84,8.89,14.68,14.72,18.72,18.36,13.73,10.94,0.31,0.24,1.77,10.14,17.27,8.33,9.38
1922,-3.92,-1.53,3.99,6.17,13.58,16.18,16.50,15.84,11.84,4.94,2.74,2.16,-1.74,7.91,16.17,6.51,7.21
1923,1.97,-0.16,5.52,7.02,11.99,11.63,18.51,15.80,13.81,10.70,3.43,-2.51,1.32,8.18,15.31,9.31,8.53
1924,-3.66,-3.37,2.43,6.17,14.25,15.82,17.41,16.40,14.62,10.55,3.11,1.46,-3.18,7.62,16.54,9.43,7.60
