YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,23.64,23.24,20.24,16.44,13.34,12.94,11.34,13.24,12.64,15.14,20.34,24.64,23.05,16.67,12.51,16.04,17.07
1881,23.34,25.14,23.44,17.24,13.84,10.94,10.14,12.44,14.84,18.54,21.34,25.04,24.37,18.17,11.17,18.24,17.99
1882,24.74,23.24,19.84,15.64,13.04,10.84,10.04,12.74,13.44,19.64,20.64,23.54,24.34,16.17,11.21,17.91,17.41
1883,24.44,24.14,22.04,15.84,13.84,12.74,11.14,11.44,13.14,17.64,20.94,24.04,24.04,17.24,11.77,17.24,17.57
1884,25.64,24.24,23.34,16.64,12.04,9.44,9.54,14.24,14.74,17.54,21.04,23.94,24.64,17.34,11.07,17.77,17.71
1885,25.64,24.04,21.64,15.34,12.64,9.64,9.04,10.64,14.44,17.64,21.64,22.34,24.54,16.54,9.77,17.91,17.19
1886,25.74,23.84,22.04,15.94,13.74,10.24,10.24,11.74,13.54,16.24,19.94,24.24,23.97,17.24,10.74,16.57,17.13
1887,24.54,22.54,21.04,15.94,13.14,12.94,11.04,13.84,13.54,16.84,20.94,22.84,23.77,16.71,12.61,17.11,17.55
1888,25.84,24.44,22.34,18.24,12.74,8.74,12.94,13.34,14.04,17.64,19.54,23.74,24.37,17.77,11.67,17.07,17.72
1889,23.74,23.04,22.44,17.54,14.64,10.64,10.64,10.44,13.04,16.64,19.64,22.74,23.51,18.21,10.57,16.44,17.18
1890,24.24,24.14,20.44,19.54,12.84,10.14,10.64,10.44,12.44,16.14,21.44,24.64,23.71,17.61,10.41,16.67,17.10
1891,24.94,23.94,21.34,16.94,13.94,11.44,10.74,11.74,14.14,16.74,21.74,22.34,24.51,17.41,11.31,17.54,17.69
1892,25.24,24.94,20.44,17.44,12.84,9.04,11.74,11.34,12.94,17.84,19.84,22.54,24.17,16.91,10.71,16.87,17.16
1893,24.44,23.04,23.74,16.84,12.44,9.54,11.94,11.04,12.44,14.04,21.34,25.54,23.34,17.67,10.84,15.94,16.95
1894,26.14,25.54,20.74,17.94,14.44,9.24,9.84,11.24,13.14,15.64,20.04,22.24,25.74,17.71,10.11,16.27,17.46
1895,23.64,24.84,22.04,17.64,14.94,13.74,11.44,12.34,14.64,15.94,19.14,23.04,23.57,18.21,12.51,16.57,17.71
