YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,1.21,6.11,7.31,8.91,11.91,14.71,16.91,17.61,15.91,8.51,6.51,6.81,3.87,9.38,16.41,10.31,9.99
1881,0.31,3.81,6.41,8.21,12.71,15.31,19.11,15.61,13.71,7.91,9.91,4.91,3.64,9.11,16.68,10.51,9.98
1882,5.21,6.11,8.41,9.41,13.01,14.21,16.21,16.01,13.11,11.11,7.11,5.11,5.41,10.28,15.48,10.44,10.40
1883,5.71,6.61,2.91,8.81,12.21,15.41,15.91,17.31,14.31,10.91,7.01,5.21,5.81,7.98,16.21,10.74,10.19
1884,7.11,6.11,7.41,7.91,12.81,15.01,17.81,18.91,15.71,10.11,6.41,5.61,6.14,9.38,17.24,10.74,10.88
1885,3.11,7.11,5.11,9.21,10.41,15.81,18.11,15.31,13.51,8.61,6.91,4.41,5.28,8.24,16.41,9.68,9.90
1886,2.91,1.41,4.81,8.61,12.31,14.81,17.81,17.31,15.61,12.31,7.41,3.11,2.91,8.58,16.64,11.78,9.98
1887,2.61,4.31,3.81,7.31,10.61,16.61,19.71,17.41,12.91,7.81,5.41,3.81,3.34,7.24,17.91,8.71,9.30
1888,3.81,2.31,4.01,6.91,12.21,15.11,14.91,15.61,13.81,8.31,8.91,5.41,3.31,7.71,15.21,10.34,9.14
1889,3.41,3.41,5.31,8.11,13.91,16.81,16.61,16.11,13.81,9.81,7.31,3.61,4.08,9.11,16.51,10.31,10.00
1890,6.91,3.51,6.81,8.11,13.21,15.11,15.81,15.71,15.81,10.31,7.01,-0.69,4.68,9.38,15.54,11.04,10.16
1891,1.71,4.21,5.11,7.31,10.71,16.21,16.11,15.41,15.41,11.11,6.81,5.61,1.74,7.71,15.91,11.11,9.12
1892,3.11,4.41,3.41,8.61,13.21,15.01,15.81,17.01,14.11,8.01,7.81,3.11,4.38,8.41,15.94,9.98,9.68
1893,2.41,5.71,8.31,11.11,14.61,16.91,17.71,19.11,14.41,11.31,6.11,5.31,3.74,11.34,17.91,10.61,10.90
1894,4.11,5.91,7.41,11.11,10.71,15.31,17.11,15.91,12.91,10.71,8.81,6.31,5.11,9.74,16.11,10.81,10.44
1895,1.41,-1.09,6.51,9.31,13.81,16.81,17.61,17.21,17.11,8.71,9.11,5.11,2.21,9.88,17.21,11.64,10.23
1896,5.21,5.21,8.31,9.91,13.11,17.91,18.91,15.71,14.31,8.61,5.21,5.11,5.18,10.44,17.51,9.38,10.63
1897,2.41,6.71,7.81,8.41,11.81,16.81,18.61,17.71,13.61,11.11,8.21,5.71,4.74,9.34,17.71,10.98,10.69
1898,7.01,5.71,4.91,9.41,11.61,14.81,17.11,18.71,17.21,12.71,8.31,8.21,6.14,8.64,16.88,12.74,11.10
1899,6.51,6.01,5.51,8.91,11.11,16.31,19.31,19.11,15.11,10.11,9.41,3.31,6.91,8.51,18.24,11.54,11.30
1900,5.21,4.11,4.41,9.31,11.51,15.71,19.71,16.51,14.91,11.21,8.51,8.11,4.21,8.41,17.31,11.54,10.37
1901,4.31,2.71,4.61,9.71,12.21,15.31,18.71,17.41,14.91,10.81,5.71,4.91,5.04,8.84,17.14,10.48,10.38
1902,6.11,2.41,7.51,8.91,9.81,14.71,16.61,15.91,13.91,10.61,7.71,5.81,4.48,8.74,15.74,10.74,9.93
1903,5.61,7.81,8.41,7.41,12.41,13.91,16.91,15.81,14.71,12.11,7.81,4.21,6.41,9.41,15.54,11.54,10.73
1904,4.71,4.71,5.21,10.11,12.41,14.81,19.11,17.01,13.51,11.11,6.31,5.61,4.54,9.24,16.98,10.31,10.27
1905,4.11,6.31,7.81,8.51,12.31,15.81,19.41,16.31,13.91,8.21,6.01,5.31,5.34,9.54,17.18,9.38,10.36
1906,6.31,4.21,5.91,8.21,12.11,15.01,17.91,18.71,15.61,12.91,8.61,3.71,5.28,8.74,17.21,12.38,10.90
1907,4.31,3.71,7.31,8.61,11.91,14.11,15.31,16.31,14.91,11.31,7.91,6.11,3.91,9.28,15.24,11.38,9.95
1908,3.21,5.91,5.21,6.91,13.81,15.81,17.31,15.91,14.11,12.71,8.71,4.90,5.08,8.64,16.34,11.84,10.48
1909,4.30,3.20,4.60,10.00,12.20,12.70,16.10,17.10,13.20,12.10,6.00,5.20,4.13,8.93,15.30,10.43,9.70
1910,4.90,6.10,6.60,8.50,12.20,16.20,15.00,16.50,13.90,12.40,4.30,7.50,5.40,9.10,15.90,10.20,10.15
1911,3.90,5.60,6.00,8.40,13.90,15.80,20.10,20.20,16.20,10.80,7.30,7.40,5.67,9.43,18.70,11.43,11.31
1912,5.10,6.80,8.20,9.70,13.70,15.10,17.90,14.30,12.20,9.10,7.10,8.20,6.43,10.53,15.77,9.47,10.55
1913,5.60,5.40,7.40,8.70,13.20,15.40,15.20,16.10,14.80,12.00,9.60,6.00,6.40,9.77,15.57,12.13,10.97
1914,4.10,7.40,7.10,10.40,12.20,15.60,17.40,17.40,14.50,11.40,7.90,6.30,5.83,9.90,16.80,11.27,10.95
1915,4.80,5.20,5.80,8.60,12.30,15.30,16.40,16.60,14.40,9.90,4.50,7.30,5.43,8.90,16.10,9.60,10.01
1916,8.20,4.70,4.40,9.30,13.40,12.50,15.90,17.60,13.70,11.90,7.20,3.40,6.73,9.03,15.33,10.93,10.51
1917,2.40,2.20,3.90,6.10,14.10,17.30,17.30,16.40,15.30,8.80,8.70,2.70,2.67,8.03,17.00,10.93,9.66
1918,4.70,6.90,6.60,7.20,13.60,14.50,16.80,17.30,13.70,10.30,6.80,8.30,4.77,9.13,16.20,10.27,10.09
1919,3.70,2.60,5.00,7.90,14.10,15.80,14.70,18.10,14.60,7.90,4.40,6.60,4.87,9.00,16.20,8.97,9.76
1920,6.30,6.80,8.50,9.50,13.60,15.90,15.70,14.80,14.40,11.20,6.90,5.30,6.57,10.53,15.47,10.83,10.85
1921,8.30,5.50,8.30,9.30,13.10,16.00,20.30,17.60,15.90,14.00,4.70,7.50,6.37,10.23,17.97,11.53,11.53
1922,5.10,5.70,5.70,6.80,14.70,15.70,15.30,15.10,13.10,9.10,6.30,6.60,6.10,9.07,15.37,9.50,10.01
1923,5.80,6.70,7.30,8.70,11.20,13.60,19.60,17.30,14.10,11.20,4.30,4.40,6.37,9.07,16.83,9.87,10.53
1924,5.40,3.40,4.80,8.20,13.30,15.60,16.90,15.40,14.60,11.30,8.10,6.90,4.40,8.77,15.97,11.33,10.12
1925,5.90,6.10,5.40,8.40,13.10,16.50,18.30,16.70,12.60,11.70,5.20,4.20,6.30,8.97,17.17,9.83,10.57
1926,5.20,8.00,7.40,9.90,11.40,14.60,17.80,17.70,16.10,9.10,7.70,4.80,5.80,9.57,16.70,10.97,10.76
1927,5.50,5.10,8.10,9.40,12.70,14.20,16.60,16.70,13.70,11.20,6.90,2.80,5.13,10.07,15.83,10.60,10.41
1928,6.10,6.80,7.10,9.10,11.60,14.60,19.20,16.80,14.00,11.30,8.90,4.40,5.23,9.27,16.87,11.40,10.69
1929,2.10,0.40,6.60,7.40,12.60,14.90,17.90,17.00,17.70,10.80,8.00,6.90,2.30,8.87,16.60,12.17,9.98
1930,7.20,3.80,6.60,9.30,12.30,16.70,16.90,17.50,15.10,11.70,7.90,5.30,5.97,9.40,17.03,11.57,10.99
1931,4.40,4.60,4.90,8.80,12.40,16.10,16.80,16.00,12.40,10.10,8.60,6.20,4.77,8.70,16.30,10.37,10.03
1932,7.20,3.70,5.30,7.90,11.70,15.30,17.40,19.30,14.80,10.10,7.80,6.30,5.70,8.30,17.33,10.90,10.56
1933,3.50,5.40,7.90,10.20,13.20,16.70,19.60,19.70,16.30,11.30,6.60,2.20,5.07,10.43,18.67,11.40,11.39
1934,4.70,3.90,5.80,9.30,13.10,16.60,19.60,16.90,16.20,11.90,7.20,9.00,3.60,9.40,17.70,11.77,10.62
1935,5.30,6.80,7.20,8.80,11.10,16.40,19.40,18.30,15.20,10.90,8.10,4.30,7.03,9.03,18.03,11.40,11.38
1936,5.40,3.40,7.90,7.30,12.70,16.40,16.50,17.40,15.40,10.30,7.20,6.20,4.37,9.30,16.77,10.97,10.35
1937,6.00,6.70,4.70,9.80,13.30,15.90,17.80,18.70,14.60,11.60,6.10,4.20,6.30,9.27,17.47,10.77,10.95
1938,6.90,5.40,9.90,8.40,11.50,16.60,16.80,17.50,15.20,10.90,10.40,4.90,5.50,9.93,16.97,12.17,11.14
1939,5.90,6.50,6.60,9.70,12.00,15.30,16.70,17.50,15.70,9.40,9.80,3.60,5.77,9.43,16.50,11.63,10.83
1940,-0.20,3.70,6.90,9.50,13.70,17.50,16.40,17.20,14.60,10.40,7.80,4.50,2.37,10.03,17.03,10.93,10.09
1941,1.70,4.60,5.80,7.30,10.10,16.40,19.40,15.70,15.30,11.20,7.50,6.20,3.60,7.73,17.17,11.33,9.96
1942,1.30,0.60,5.60,10.00,12.30,16.30,17.00,17.90,15.10,12.10,6.00,7.29,2.70,9.30,17.07,11.07,10.03
1943,5.99,6.29,7.39,12.19,13.89,15.69,17.99,17.69,14.59,12.09,6.79,4.69,6.52,11.16,17.12,11.16,11.49
1944,7.19,4.09,5.69,11.09,12.79,14.99,17.69,18.79,13.69,10.19,7.29,3.98,5.32,9.86,17.16,10.39,10.68
1945,1.28,8.18,8.88,11.28,13.88,16.18,18.28,16.98,15.48,12.68,8.18,5.78,4.48,11.35,17.15,12.11,11.27
1946,3.88,6.98,5.58,11.08,11.38,14.48,18.08,16.08,14.88,10.98,9.08,3.57,5.55,9.35,16.21,11.65,10.69
1947,2.37,-1.03,5.07,10.07,14.57,17.37,18.87,20.07,16.67,11.57,8.17,6.16,1.64,9.90,18.77,12.14,10.61
1948,6.86,5.46,8.96,10.56,12.66,15.06,16.96,16.36,15.26,10.76,8.06,6.86,6.16,10.73,16.13,11.36,11.09
1949,6.36,6.16,5.30,11.20,11.70,15.90,19.00,18.40,17.70,12.40,6.80,6.69,6.46,9.40,17.77,12.30,11.48
1950,4.79,6.79,8.69,8.79,12.59,18.39,17.99,17.79,14.49,10.89,6.89,1.89,6.09,10.02,18.06,10.76,11.23
1951,4.89,4.39,5.49,8.19,11.39,15.59,18.39,16.79,15.59,10.39,9.39,6.38,3.72,8.36,16.92,11.79,10.20
1952,4.18,3.48,7.38,10.68,14.58,16.48,18.68,17.88,11.98,10.28,4.28,3.58,4.68,10.88,17.68,8.85,10.52
1953,3.58,4.68,6.18,9.38,13.68,15.38,16.98,17.18,14.28,10.78,8.78,8.27,3.95,9.75,16.51,11.28,10.37
1954,3.87,3.77,6.97,8.17,12.67,14.77,15.87,15.97,14.37,13.37,7.97,7.47,5.30,9.27,15.54,11.90,10.50
1955,3.57,2.67,4.27,10.37,11.27,15.37,18.57,19.27,15.37,9.97,7.97,6.66,4.57,8.64,17.74,11.10,10.51
1956,4.86,-0.04,6.76,7.16,13.36,14.26,17.16,14.76,15.56,10.46,6.76,6.96,3.83,9.09,15.39,10.93,9.81
1957,6.26,6.46,9.96,9.56,11.46,17.16,18.56,16.76,13.16,11.96,7.36,5.45,6.56,10.33,17.49,10.83,11.30
1958,4.55,6.85,4.65,8.35,12.65,14.95,17.55,17.15,16.35,12.15,7.35,5.85,5.62,8.55,16.55,11.95,10.67
1959,2.85,4.65,8.35,10.65,13.15,16.45,19.35,19.15,16.85,13.45,7.65,6.64,4.45,10.72,18.32,12.65,11.53
1960,4.74,5.24,6.94,9.84,13.64,16.84,16.34,16.34,14.24,11.14,8.34,4.94,5.54,10.14,16.51,11.24,10.86
1961,4.34,7.94,9.04,11.04,11.84,16.14,16.94,17.14,16.54,11.64,7.04,3.83,5.74,10.64,16.74,11.74,11.21
1962,5.33,5.03,3.63,8.73,11.23,14.53,16.33,16.73,13.73,11.73,6.53,2.73,4.73,7.86,15.86,10.66,9.78
1963,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1964,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1965,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1966,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1967,5.31,6.51,8.31,8.51,12.21,15.41,18.91,16.91,15.01,12.31,6.21,4.70,6.12,9.68,17.08,11.18,11.01
