YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1908,999.90,999.90,999.90,999.90,999.90,999.90,999.90,21.35,999.90,18.28,15.33,13.03,999.90,999.90,999.90,18.07,999.90
1909,12.65,12.36,12.90,15.97,16.05,18.73,19.96,21.55,20.43,19.14,15.66,12.16,12.68,14.97,20.08,18.41,16.54
1910,12.17,13.19,15.05,17.71,17.28,18.13,21.30,21.27,21.48,19.61,15.83,15.53,12.51,16.68,20.23,18.97,17.10
1911,13.90,11.33,14.96,14.76,16.41,17.79,20.83,21.40,20.15,19.05,17.83,12.95,13.59,15.38,20.01,19.01,17.00
1912,15.08,15.54,999.90,13.63,17.23,18.58,20.62,20.77,20.45,18.51,18.46,13.73,14.52,14.76,19.99,19.14,17.10
1913,11.21,12.17,14.36,15.52,16.11,18.07,21.45,22.20,23.15,20.06,16.63,13.04,12.37,15.33,20.57,19.95,17.05
1914,15.26,999.90,999.90,17.16,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,14.27,999.90,999.90,999.90,999.90
1915,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1916,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1917,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1918,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1919,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1920,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1921,12.18,14.01,15.11,14.94,14.81,18.61,21.98,21.38,20.62,19.19,17.29,15.54,13.14,14.95,20.66,19.03,16.94
1922,11.75,12.10,12.98,14.15,16.87,19.70,20.73,22.82,22.71,18.42,15.34,14.48,13.13,14.67,21.08,18.82,16.93
1923,14.36,13.56,15.94,14.52,17.97,17.43,21.00,20.74,21.19,19.23,19.02,14.73,14.13,16.14,19.72,19.81,17.45
1924,14.58,16.84,13.39,15.64,18.05,19.98,20.63,20.48,20.94,16.85,17.70,12.92,15.38,15.69,20.36,18.50,17.48
1925,14.05,14.10,14.76,15.36,17.01,19.50,22.20,20.90,20.49,18.21,16.71,17.18,13.69,15.71,20.87,18.47,17.18
1926,15.03,16.07,17.08,17.27,18.33,19.40,20.86,22.38,19.80,19.59,19.23,13.17,16.09,17.56,20.88,19.54,18.52
1927,13.81,13.47,13.91,15.08,17.50,18.13,22.09,21.11,20.01,19.47,18.56,13.26,13.48,15.50,20.44,19.35,17.19
1928,16.15,15.38,15.68,16.60,17.66,18.33,20.46,20.96,21.45,17.39,17.12,14.68,14.93,16.65,19.92,18.65,17.54
1929,12.67,12.22,13.80,13.90,18.10,20.05,22.08,24.08,20.98,20.93,18.58,17.36,13.19,15.27,22.07,20.16,17.67
1930,13.10,14.97,15.74,17.30,16.29,19.50,22.41,23.00,19.69,20.15,18.72,15.37,15.14,16.44,21.64,19.52,18.19
1931,15.41,15.70,18.60,18.59,19.47,21.13,24.87,24.24,21.68,20.14,14.58,12.46,15.49,18.89,23.41,18.80,19.15
1932,11.55,13.31,16.46,16.74,17.26,18.73,20.32,20.59,19.89,19.32,20.23,12.59,12.44,16.82,19.88,19.81,17.24
1933,12.11,13.06,15.08,14.76,15.46,18.01,20.50,20.79,17.79,18.97,18.86,13.77,12.59,15.10,19.77,18.54,16.50
1934,15.45,14.96,18.27,17.81,19.39,18.17,22.05,21.39,22.30,19.42,16.75,15.63,14.73,18.49,20.54,19.49,18.31
1935,13.56,15.24,12.59,15.61,16.30,18.78,21.19,23.00,20.70,19.08,15.66,14.88,14.81,14.83,20.99,18.48,17.28
1936,14.85,13.26,14.66,15.58,18.31,20.15,23.04,22.65,21.03,19.31,19.49,14.42,14.33,16.18,21.95,19.94,18.10
1937,8.38,12.62,14.37,16.45,17.39,19.52,21.47,21.63,22.08,19.39,16.14,16.22,11.81,16.07,20.87,19.20,16.99
1938,15.83,13.34,13.89,16.03,16.98,18.04,20.47,22.89,22.98,18.89,16.68,16.44,15.13,15.63,20.47,19.52,17.69
1939,13.50,11.86,13.35,16.84,17.18,18.98,21.10,22.39,24.41,21.59,19.11,17.37,13.93,15.79,20.82,21.70,18.06
1940,15.01,14.78,16.20,17.43,18.81,18.84,21.44,21.36,20.87,20.11,17.39,16.20,15.72,17.48,20.55,19.46,18.30
1941,14.17,14.84,15.78,14.98,19.87,18.82,21.44,21.68,19.90,18.80,18.45,13.81,15.07,16.88,20.65,19.05,17.91
1942,14.74,13.09,14.81,15.16,17.06,18.78,22.01,21.59,19.83,19.74,17.41,14.79,13.88,15.68,20.79,18.99,17.34
1943,14.16,15.50,14.79,16.25,18.51,18.98,21.40,21.76,21.39,19.12,18.20,13.68,14.82,16.52,20.71,19.57,17.90
1944,13.88,11.92,15.25,14.81,16.79,17.31,19.09,21.72,20.61,18.08,14.86,15.41,13.16,15.62,19.37,17.85,16.50
1945,13.47,13.61,12.31,15.06,16.48,17.93,21.50,22.81,22.73,19.36,16.34,13.86,14.16,14.62,20.75,19.48,17.25
1946,14.17,12.50,14.00,16.52,16.03,20.25,21.98,22.24,22.68,17.93,14.72,13.39,13.51,15.52,21.49,18.44,17.24
1947,13.10,15.30,15.61,16.85,17.64,19.24,22.59,21.69,22.22,18.90,14.39,13.37,13.93,16.70,21.17,18.50,17.58
1948,14.17,11.92,12.26,15.18,17.11,18.78,21.01,21.16,21.33,18.42,16.10,11.23,13.15,14.85,20.32,18.62,16.73
1949,7.61,10.83,12.71,16.99,17.29,20.28,21.45,22.49,22.08,18.30,18.92,12.47,9.89,15.66,21.41,19.77,16.68
1950,9.57,13.02,14.17,16.41,16.09,18.51,22.26,20.94,19.79,20.15,16.92,16.06,11.69,15.56,20.57,18.95,16.69
1951,12.47,12.86,14.97,15.09,16.59,18.57,21.98,21.17,21.01,19.77,15.94,11.67,13.80,15.55,20.57,18.91,17.21
1952,10.84,14.17,12.24,15.47,18.56,18.03,21.67,22.64,22.82,18.74,14.34,12.65,12.23,15.42,20.78,18.63,16.77
1953,15.19,14.18,14.23,14.11,16.98,18.62,23.12,20.74,20.49,19.87,16.82,14.30,14.01,15.11,20.83,19.06,17.25
1954,12.35,17.07,13.14,15.33,16.94,19.00,24.06,22.08,21.72,17.98,17.19,13.72,14.57,15.14,21.71,18.96,17.60
1955,11.27,13.12,15.47,15.50,16.45,18.51,20.61,23.25,22.86,17.11,15.41,12.47,12.70,15.81,20.79,18.46,16.94
1956,12.56,10.92,15.03,14.06,17.20,20.22,21.31,21.38,23.92,18.38,18.77,15.02,11.98,15.43,20.97,20.36,17.19
1957,11.55,15.13,15.63,15.69,17.09,21.71,23.65,23.79,21.56,18.70,15.17,15.69,13.90,16.14,23.05,18.48,17.89
1958,14.50,14.90,13.01,17.73,19.21,20.86,21.85,23.18,23.54,22.52,16.59,15.86,15.03,16.65,21.96,20.88,18.63
1959,14.77,12.67,17.36,18.19,17.50,21.15,24.63,23.35,22.22,20.39,18.39,15.09,14.43,17.68,23.04,20.33,18.87
1960,11.73,13.05,15.83,17.67,19.02,20.34,23.35,22.04,23.38,19.17,14.91,13.99,13.29,17.51,21.91,19.15,17.96
1961,15.81,15.29,14.81,16.94,16.59,19.62,22.60,22.68,20.81,19.12,14.82,13.02,15.03,16.11,21.63,18.25,17.76
1962,13.35,11.30,12.06,17.13,16.33,18.21,20.33,22.53,20.75,17.89,15.08,13.30,12.56,15.17,20.36,17.91,16.50
1963,12.28,16.23,13.77,14.49,17.02,18.24,21.43,22.35,24.31,19.79,15.98,15.05,13.94,15.09,20.67,20.03,17.43
1964,12.88,14.18,13.96,15.03,15.67,17.41,999.90,999.90,999.90,999.90,999.90,999.90,14.04,14.89,999.90,999.90,999.90
