YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1921,14.27,15.57,18.57,19.97,20.47,20.17,18.37,18.57,18.37,16.47,16.07,15.07,14.70,19.67,19.04,16.97,17.59
1922,15.47,17.17,18.97,20.67,21.07,18.57,18.47,18.67,18.47,17.07,16.67,15.17,15.90,20.24,18.57,17.40,18.03
1923,15.27,16.07,18.57,20.07,21.97,19.97,18.47,18.67,19.27,17.37,16.27,15.57,15.50,20.20,19.04,17.64,18.09
1924,14.77,16.37,20.07,20.57,20.77,19.37,18.57,18.77,17.77,16.97,15.07,14.95,15.57,20.47,18.90,16.60,17.89
1925,14.25,15.45,17.45,19.15,18.75,18.65,18.15,18.45,18.15,18.15,15.75,13.74,14.88,18.45,18.42,17.35,17.27
1926,14.54,15.64,18.84,18.34,19.34,19.54,19.04,18.94,18.34,17.94,15.34,15.22,14.64,18.84,19.17,17.21,17.46
1927,13.62,15.82,18.62,19.62,21.52,19.52,18.22,18.42,18.12,17.12,15.42,15.70,14.89,19.92,18.72,16.89,17.60
1928,14.30,16.70,18.80,19.90,19.40,20.50,18.70,18.40,18.50,17.60,15.50,14.58,15.57,19.37,19.20,17.20,17.83
1929,14.68,17.58,18.78,21.28,19.68,19.18,17.38,17.58,17.98,16.68,16.58,14.37,15.61,19.91,18.05,17.08,17.66
1930,14.67,15.87,19.27,17.87,20.17,18.87,17.67,17.97,18.67,17.97,15.47,14.85,14.97,19.10,18.17,17.37,17.40
1931,13.95,16.15,18.35,18.55,19.85,19.75,18.95,18.45,17.95,17.75,15.85,15.23,14.98,18.92,19.05,17.18,17.53
1932,15.23,16.93,17.73,19.03,20.33,20.13,18.33,18.83,18.63,17.13,13.73,14.31,15.80,19.03,19.10,16.50,17.61
1933,14.61,16.81,18.01,20.51,21.81,19.51,20.01,18.31,18.11,17.21,15.21,14.19,15.24,20.11,19.28,16.84,17.87
1934,14.59,15.69,15.39,17.59,18.79,20.29,18.79,18.19,18.39,16.89,15.89,15.28,14.82,17.26,19.09,17.06,17.06
1935,13.48,13.78,17.78,19.38,20.28,18.78,18.18,18.18,18.38,16.78,15.88,14.36,14.18,19.15,18.38,17.01,17.18
1936,15.16,16.86,19.66,18.86,18.96,20.46,18.66,18.56,18.36,17.66,16.56,14.74,15.46,19.16,19.23,17.53,17.84
