YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,5.05,3.67,3.09,11.00,21.31,24.04,24.95,23.77,20.56,13.14,4.24,-2.62,5.07,11.80,24.25,12.65,13.44
1881,-3.41,-1.72,3.80,9.53,18.07,19.73,24.39,24.22,24.00,15.20,7.65,4.70,-2.58,10.47,22.78,15.62,11.57
1882,-1.26,2.37,5.54,9.85,14.96,23.39,25.53,24.10,20.43,15.04,4.44,0.32,1.94,10.12,24.34,13.30,12.42
1883,-2.82,-0.27,1.25,9.76,17.24,24.39,24.80,22.11,17.76,11.99,7.01,1.25,-0.92,9.42,23.77,12.25,11.13
1884,-3.93,1.36,3.86,9.93,17.21,22.76,23.53,24.32,23.20,14.84,7.82,1.79,-0.44,10.33,23.54,15.29,12.18
1885,-0.85,-4.51,-0.42,10.55,16.08,22.25,26.71,23.41,18.77,12.80,7.51,2.52,-1.19,8.74,24.12,13.03,11.17
1886,-2.02,-1.12,4.23,13.43,17.06,21.72,25.19,22.27,19.68,13.78,7.41,-0.35,-0.21,11.57,23.06,13.62,12.01
1887,-1.05,0.54,0.83,9.21,19.54,22.60,27.32,22.49,17.55,12.15,6.21,1.19,-0.29,9.86,24.14,11.97,11.42
1888,-4.49,-0.86,-0.32,8.82,15.58,23.18,22.84,23.78,18.22,10.25,8.02,3.04,-1.39,8.03,23.27,12.16,10.52
1889,2.87,-1.16,5.38,11.43,18.74,22.75,24.55,22.69,19.59,10.52,7.82,5.70,1.58,11.85,23.33,12.64,12.35
1890,3.84,4.41,2.46,11.07,16.95,22.72,24.27,24.08,20.97,13.40,7.96,-0.26,4.65,10.16,23.69,14.11,13.15
1891,1.79,2.91,3.58,10.90,15.92,23.10,23.36,24.99,22.92,13.18,6.71,6.53,1.48,10.13,23.82,14.27,12.43
1892,-0.05,1.10,1.56,9.56,15.89,24.18,25.15,24.23,18.71,12.18,6.07,0.23,2.53,9.00,24.52,12.32,12.09
1893,-4.70,-0.93,2.47,8.98,14.92,20.89,24.03,23.92,17.87,13.54,6.18,1.83,-1.80,8.79,22.95,12.53,10.62
1894,1.14,-2.35,6.42,10.15,17.01,22.55,24.65,22.14,20.98,13.45,5.02,3.29,0.21,11.19,23.11,13.15,11.92
1895,-1.25,-4.33,2.54,9.42,17.61,23.26,22.65,24.25,21.52,10.85,8.61,3.12,-0.76,9.86,23.39,13.66,11.53
1896,-1.68,-1.36,-0.08,11.54,19.70,21.13,24.71,24.39,19.53,11.50,8.72,0.96,0.03,10.39,23.41,13.25,11.77
1897,-1.61,0.02,4.34,10.24,16.15,19.74,25.14,22.86,19.15,13.28,6.65,3.28,-0.21,10.24,22.58,13.03,11.41
1898,1.23,1.79,7.50,8.42,14.82,21.89,24.90,24.24,21.44,14.79,7.51,1.07,2.10,10.25,23.68,14.58,12.65
1899,-1.31,-2.64,2.98,9.70,16.97,23.76,24.92,24.04,18.31,14.69,7.30,2.72,-0.96,9.88,24.24,13.43,11.65
1900,-0.49,-1.05,0.41,10.23,15.54,22.09,25.68,25.36,21.75,16.16,9.02,1.92,0.39,8.73,24.38,15.64,12.28
1901,-0.02,-3.19,3.73,9.10,14.65,21.97,26.48,24.34,20.27,13.21,4.27,2.25,-0.43,9.16,24.26,12.58,11.39
1902,-1.18,-1.73,6.77,10.56,15.38,19.60,23.33,22.64,19.12,14.09,10.73,-0.20,-0.22,10.90,21.86,14.65,11.80
1903,-0.99,0.38,8.90,11.51,17.91,18.20,24.44,20.86,19.75,14.54,5.66,-0.58,-0.27,12.77,21.17,13.32,11.75
1904,-4.33,-4.35,2.20,8.63,18.09,21.19,23.75,22.30,19.10,11.36,4.89,-1.93,-3.09,9.64,22.41,11.78,10.19
1905,-2.58,-4.98,4.14,9.77,16.21,21.13,24.85,23.39,20.34,14.56,5.57,3.05,-3.16,10.04,23.12,13.49,10.87
1906,2.66,-0.89,0.94,10.70,16.84,23.10,25.03,24.86,20.85,13.24,6.75,0.23,1.61,9.49,24.33,13.61,12.26
1907,0.89,-4.84,5.28,7.68,13.21,20.43,24.77,22.65,20.37,10.47,6.70,2.79,-1.24,8.72,22.62,12.51,10.65
1908,-0.31,-3.89,4.35,10.71,17.15,22.39,26.18,23.72,19.99,15.48,7.01,2.07,-0.47,10.74,24.10,14.16,12.13
1909,0.90,2.65,2.89,9.29,16.22,22.44,23.37,22.62,19.21,12.92,9.54,-0.18,1.87,9.47,22.81,13.89,12.01
1910,-0.67,-1.55,6.04,12.80,16.51,20.56,25.21,22.20,20.73,14.90,5.13,-1.88,-0.80,11.78,22.66,13.59,11.81
1911,1.86,-1.18,1.23,8.83,18.49,21.36,25.92,23.27,20.04,13.06,5.23,4.18,-0.40,9.52,23.52,12.78,11.35
1912,-4.78,-1.94,2.93,10.96,17.18,21.24,24.46,22.13,19.32,15.35,8.43,4.28,-0.85,10.36,22.61,14.37,11.62
1913,4.70,-0.61,7.38,11.54,16.36,21.73,24.75,23.11,18.18,14.88,8.56,3.75,2.79,11.76,23.20,13.87,12.90
1914,0.21,-3.91,2.17,9.04,18.75,20.87,22.72,24.03,19.54,15.57,6.57,-0.38,0.02,9.99,22.54,13.89,11.61
1915,0.69,1.70,2.60,13.07,15.37,20.13,23.68,22.35,21.04,14.25,7.76,0.76,0.67,10.35,22.05,14.35,11.85
1916,2.35,-2.56,0.10,9.67,16.46,19.15,24.49,24.26,19.86,13.99,7.48,0.60,0.18,8.74,22.63,13.78,11.33
1917,0.58,-2.66,4.03,9.33,12.73,21.40,24.79,24.61,17.56,11.71,5.05,-3.83,-0.49,8.70,23.60,11.44,10.81
1918,-5.96,-1.16,5.75,10.45,18.71,20.29,24.17,24.78,17.78,14.94,7.68,3.71,-3.65,11.64,23.08,13.47,11.13
1919,1.93,1.36,6.47,10.04,17.13,22.15,24.20,22.00,19.79,14.62,6.83,-1.16,2.33,11.21,22.78,13.75,12.52
1920,-4.92,-2.14,4.95,9.42,15.29,21.26,23.41,23.57,20.29,16.04,6.60,2.89,-2.74,9.89,22.75,14.31,11.05
1921,0.61,0.91,9.25,14.11,16.95,22.20,25.50,22.08,22.25,13.55,6.77,0.41,1.47,13.44,23.26,14.19,13.09
1922,-1.95,0.39,5.17,10.84,18.33,22.37,23.60,22.70,20.31,14.50,7.60,0.72,-0.38,11.45,22.89,14.14,12.02
1923,-1.34,-3.40,2.30,10.49,15.96,23.34,23.64,22.69,20.42,13.43,7.15,5.70,-1.34,9.58,23.22,13.67,11.28
1924,0.17,-2.05,3.96,9.77,14.33,20.28,23.56,23.64,17.99,13.97,6.32,0.69,1.27,9.35,22.49,12.76,11.47
1925,-1.80,3.63,6.79,11.30,15.49,23.72,23.23,23.26,20.76,10.33,6.01,1.66,0.84,11.19,23.40,12.37,11.95
1926,-0.13,-1.97,1.80,8.50,15.78,19.64,24.20,23.58,18.86,12.69,7.01,-2.22,-0.15,8.69,22.47,12.85,10.97
1927,-0.94,2.54,6.21,9.39,15.35,19.92,23.51,20.38,20.14,15.20,9.33,2.91,-0.21,10.32,21.27,14.89,11.57
1928,1.06,0.86,3.91,9.25,15.28,19.81,24.66,24.47,18.02,15.02,8.57,4.10,1.61,9.48,22.98,13.87,11.98
1929,-0.56,0.20,7.49,10.65,16.93,22.26,24.63,22.86,20.89,12.65,7.49,1.96,1.25,11.69,23.25,13.68,12.47
1930,0.48,2.09,4.68,9.51,18.00,23.32,24.83,23.27,22.20,12.97,7.45,1.47,1.51,10.73,23.81,14.21,12.56
1931,-0.10,0.57,4.49,10.78,16.61,22.38,25.45,24.11,22.53,16.49,11.23,4.56,0.65,10.63,23.98,16.75,13.00
1932,5.69,2.00,2.78,9.92,16.82,21.53,24.59,24.90,20.94,14.48,6.67,3.87,4.08,9.84,23.67,14.03,12.91
