YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-7.78,-3.78,4.92,12.12,20.02,22.52,23.22,24.32,18.02,12.02,2.12,-4.78,-5.61,12.35,23.35,10.72,10.20
1881,-5.28,-4.98,2.42,11.42,19.62,23.02,26.72,23.92,19.02,11.72,3.22,-4.08,-5.01,11.15,24.55,11.32,10.50
1882,-3.78,-1.88,4.42,14.52,20.12,24.62,25.62,23.52,18.42,12.32,2.12,-5.98,-3.25,13.02,24.59,10.95,11.33
1883,-5.58,-2.78,3.72,11.42,17.82,24.92,24.02,23.92,16.82,12.32,0.62,-2.58,-4.78,10.99,24.29,9.92,10.10
1884,-4.58,-3.48,1.92,12.12,18.92,24.52,24.02,22.12,19.02,999.90,999.90,999.90,-3.55,10.99,23.55,999.90,10.48
1885,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1886,999.90,-5.48,3.82,13.02,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.91,999.90,999.90,999.90
1887,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1888,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1889,999.90,999.90,999.90,999.90,18.12,23.92,24.12,23.62,17.52,10.92,1.22,-3.38,999.90,999.90,23.89,9.89,999.90
1890,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1891,-6.48,-1.28,5.22,11.32,21.42,23.22,24.12,23.52,19.62,13.62,1.52,-3.28,-3.71,12.65,23.62,11.59,11.04
1892,-6.58,-4.48,0.02,13.32,19.52,24.52,23.92,22.92,17.52,11.02,1.52,-3.98,-4.78,10.95,23.79,10.02,10.00
1893,-9.08,-4.28,3.92,13.52,17.22,21.92,24.52,23.32,18.62,10.52,2.02,-3.07,-5.78,11.55,23.25,10.39,9.85
1894,-5.17,-1.68,4.62,13.42,19.42,23.82,24.72,23.32,19.22,12.42,3.12,-3.58,-3.31,12.49,23.95,11.59,11.18
1895,-7.28,-5.98,0.62,13.52,17.72,22.22,24.02,22.62,18.32,11.92,3.12,-3.18,-5.61,10.62,22.95,11.12,9.77
1896,-5.08,-3.78,1.02,11.42,18.62,23.72,23.82,23.22,17.92,10.92,5.02,-3.68,-4.01,10.35,23.59,11.29,10.30
1897,-7.38,-4.88,1.42,11.12,18.42,23.22,24.72,24.52,19.12,12.52,3.82,-7.38,-5.31,10.32,24.15,11.82,10.24
1898,-3.48,-1.38,-0.58,12.52,20.82,24.52,24.92,23.32,17.62,12.32,4.42,-1.48,-4.08,10.92,24.25,11.45,10.64
1899,-5.08,-1.98,4.72,12.92,19.92,24.62,24.92,24.02,19.92,10.82,3.12,-4.28,-2.85,12.52,24.52,11.29,11.37
