YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1960,3.85,4.78,6.36,9.33,13.63,16.26,15.82,15.74,13.96,10.79,7.78,4.19,4.43,9.77,15.94,10.84,10.25
1961,3.78,7.50,8.51,10.73,11.68,16.30,16.60,16.50,16.05,11.76,6.27,3.42,5.16,10.31,16.47,11.36,10.82
1962,4.60,3.97,3.04,8.24,10.62,14.39,15.57,15.30,13.25,11.14,5.47,1.92,4.00,7.30,15.09,9.95,9.08
1963,-2.21,-0.57,6.44,9.15,11.34,15.20,16.13,15.09,13.64,11.03,8.71,2.58,-0.29,8.98,15.47,11.13,8.82
1964,2.86,4.34,4.11,9.01,14.13,14.85,17.75,16.89,15.32,9.01,7.66,3.71,3.26,9.08,16.50,10.66,9.88
1965,3.43,2.68,5.98,8.43,12.18,15.03,14.99,16.03,12.91,11.53,4.73,4.66,3.27,8.86,15.35,9.72,9.30
1966,2.96,6.46,6.94,8.61,12.12,16.57,15.82,999.90,15.05,11.42,5.78,5.35,4.69,9.22,16.46,10.75,10.28
1967,4.87,5.93,7.71,8.20,11.55,14.80,18.32,16.82,14.55,11.34,6.00,3.59,5.38,9.15,16.65,10.63,10.45
1968,3.80,2.10,999.90,999.90,999.90,999.90,16.11,16.11,14.79,13.40,6.73,2.72,3.16,999.90,15.46,11.64,9.73
1969,6.08,999.90,3.90,8.56,12.27,14.59,18.47,17.07,15.13,14.05,5.71,3.52,4.42,8.24,16.71,11.63,10.25
1970,4.47,3.60,3.93,7.14,999.90,17.44,16.22,16.93,15.74,11.55,8.23,4.02,3.86,7.03,16.86,11.84,9.90
1971,4.68,4.16,4.84,7.37,12.49,13.22,18.03,16.70,15.32,12.12,5.97,6.20,4.29,8.23,15.98,11.14,9.91
1972,3.83,4.91,7.84,8.70,11.30,12.67,16.80,16.40,12.29,11.17,6.17,5.64,4.98,9.28,15.29,9.88,9.86
