YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1881,-12.34,-8.64,-5.34,1.86,12.36,16.16,19.06,16.66,9.56,2.86,-2.04,-6.94,-9.77,2.96,17.29,3.46,3.49
1882,-2.14,-4.54,1.06,4.06,14.06,16.36,20.96,19.76,11.96,2.06,-3.24,-11.84,-4.54,6.39,19.03,3.59,6.12
1883,-15.74,-9.94,-6.04,3.36,15.16,18.16,19.56,15.66,13.66,5.66,1.36,-4.14,-12.51,4.16,17.79,6.89,4.08
1884,-9.03,-7.34,-6.84,0.46,9.86,17.56,17.86,13.16,8.96,5.86,-2.04,-2.94,-6.84,1.16,16.19,4.26,3.69
1885,-10.14,-6.24,-2.34,2.36,12.66,15.06,22.96,14.76,10.06,5.86,-5.34,-6.04,-6.44,4.23,17.59,3.53,4.73
1886,-8.14,-13.04,-5.84,5.86,12.16,16.06,18.76,16.46,10.06,3.26,0.96,-1.34,-9.07,4.06,17.09,4.76,4.21
1887,-6.94,-6.64,-5.54,4.96,15.56,14.16,18.76,16.06,13.66,4.26,-1.23,-4.84,-4.97,4.99,16.33,5.56,5.48
1888,-13.34,-10.34,-9.03,6.16,11.36,13.66,18.06,16.06,11.36,5.06,-2.54,-13.24,-9.51,2.83,15.93,4.63,3.47
1889,-14.14,-10.24,-8.03,4.36,16.16,15.36,18.96,16.16,9.86,7.66,0.76,-7.64,-12.54,4.16,16.83,6.09,3.64
1890,-6.94,-6.64,-0.04,8.26,14.06,17.86,21.06,19.86,12.46,3.86,-5.94,-12.94,-7.07,7.43,19.59,3.46,5.85
1891,-16.74,-5.14,-0.04,5.36,15.26,16.16,20.76,16.26,10.06,4.06,-6.74,-3.44,-11.61,6.86,17.73,2.46,3.86
1892,-12.04,-7.04,-4.24,3.66,14.06,18.06,18.36,16.66,12.46,3.86,-2.34,-12.04,-7.51,4.49,17.69,4.66,4.83
1893,-20.74,-14.84,-3.74,0.66,11.46,16.06,19.96,17.56,11.46,7.66,-1.14,-5.54,-15.87,2.79,17.86,5.99,2.69
1894,-8.34,-4.94,-3.14,5.76,14.06,14.86,17.66,18.06,8.26,3.46,-0.34,-6.25,-6.27,5.56,16.86,3.79,4.98
1895,-7.75,-12.55,-2.65,2.55,12.25,18.05,19.75,16.45,10.75,8.05,-1.24,-11.07,-8.85,4.05,18.08,5.85,4.78
1896,-12.67,-10.47,-3.36,1.63,11.33,18.83,19.53,18.73,12.33,8.93,-3.86,-10.08,-11.40,3.20,19.03,5.80,4.16
1897,-9.98,-9.68,-3.98,5.92,17.72,18.52,21.32,20.22,12.72,5.72,-2.68,-9.90,-9.91,6.55,20.02,5.25,5.48
1898,-7.00,-9.60,-9.40,1.70,15.70,16.60,19.80,17.90,9.80,1.10,1.50,-3.40,-8.83,2.67,18.10,4.13,4.02
1899,-3.61,-9.10,-6.51,4.79,11.59,13.69,19.29,13.79,12.39,5.09,0.49,-10.93,-5.37,3.29,15.59,5.99,4.88
1900,-13.03,-10.23,-3.53,2.67,9.97,14.37,17.87,18.07,9.97,6.57,-3.03,-5.94,-11.40,3.04,16.77,4.50,3.23
1901,-5.84,-8.04,-3.93,4.46,11.26,20.76,18.16,18.96,10.66,5.86,-2.84,-8.65,-6.61,3.93,19.29,4.56,5.29
1902,-6.96,-7.65,-3.16,1.14,11.74,16.74,16.94,14.84,8.94,2.74,-5.16,-11.77,-7.75,3.24,16.17,2.17,3.46
1903,-7.17,-3.77,-1.87,8.63,12.73,19.03,19.33,16.73,12.03,1.33,0.13,-7.18,-7.57,6.50,18.36,4.50,5.45
1904,-6.88,-5.08,-5.38,4.22,9.62,12.72,15.32,15.22,8.92,5.82,-2.08,-7.60,-6.38,2.82,14.42,4.22,3.77
1905,-11.40,-6.50,-4.20,3.90,14.90,18.10,17.10,16.00,10.60,5.90,-0.10,-4.91,-8.50,4.87,17.07,5.47,4.72
1906,-6.21,-7.31,-2.11,7.49,17.09,17.09,19.29,15.59,8.39,4.59,-0.71,-7.13,-6.14,7.49,17.32,4.09,5.69
1907,-15.23,-9.63,-3.43,3.37,10.37,15.97,18.47,14.97,10.17,5.87,-6.13,-13.94,-10.66,3.44,16.47,3.30,3.14
1908,-10.94,-8.04,-6.94,3.26,9.46,15.06,17.36,15.46,11.06,2.76,-7.44,-9.06,-10.97,1.93,15.96,2.13,2.26
1909,-9.86,-10.56,-5.76,2.14,8.84,15.44,16.74,16.54,14.34,7.64,-2.46,-3.47,-9.83,1.74,16.24,6.51,3.66
1910,-7.17,-6.17,-1.67,7.43,13.13,16.53,18.83,14.63,10.53,2.53,-1.37,-2.49,-5.60,6.30,16.66,3.90,5.31
1911,-10.89,-13.79,-5.49,5.11,12.71,15.61,16.11,17.11,9.91,4.01,1.21,-6.20,-9.06,4.11,16.28,5.04,4.09
1912,-15.30,-13.00,0.60,2.50,9.10,18.70,15.30,17.10,10.80,0.40,-1.49,-3.22,-11.50,4.07,17.03,3.24,3.21
1913,-9.31,-9.52,-1.51,9.18,9.18,14.38,17.98,18.58,11.78,2.58,2.28,-4.73,-7.35,5.62,16.98,5.55,5.20
1914,-9.73,-0.73,-1.83,3.27,13.57,17.17,20.07,13.87,9.67,1.77,-4.73,-3.85,-5.06,5.00,17.04,2.24,4.80
1915,-5.95,-5.95,-7.05,3.85,10.95,14.35,18.85,14.55,11.25,2.75,-2.25,-9.66,-5.25,2.58,15.92,3.92,4.29
1916,-5.46,-4.56,-5.06,5.74,10.14,15.44,17.64,14.14,8.54,4.04,-0.86,-7.87,-6.56,3.61,15.74,3.91,4.17
1917,-11.38,-17.38,-9.88,6.32,8.02,19.52,18.12,18.52,11.82,6.82,0.82,-7.59,-12.21,1.49,18.72,6.49,3.62
1918,-6.89,-5.89,-5.69,5.81,6.51,15.21,18.01,14.21,11.01,7.81,-1.19,-7.01,-6.79,2.21,15.81,5.88,4.28
1919,-9.01,-9.71,-8.01,4.39,9.39,17.29,19.09,14.49,13.69,5.19,-7.61,-8.02,-8.58,1.92,16.96,3.76,3.51
1920,-9.22,-9.12,-0.12,9.78,15.98,15.18,21.28,18.88,11.78,0.08,-2.72,-8.63,-8.79,8.55,18.45,3.05,5.31
