YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,22.48,22.11,21.62,18.87,14.92,12.11,11.12,14.67,15.91,16.73,19.88,21.63,21.97,18.47,12.63,17.51,17.64
1881,21.70,21.79,21.65,18.20,16.31,12.17,11.25,13.24,15.02,16.00,19.15,21.66,21.71,18.72,12.22,16.72,17.34
1882,22.93,22.31,21.97,18.47,15.35,12.38,11.87,13.74,17.10,18.12,19.56,21.51,22.30,18.60,12.66,18.26,17.95
1883,21.85,21.77,20.47,18.14,999.90,13.10,11.78,13.74,14.46,17.23,18.54,22.07,21.71,17.87,12.87,16.74,17.30
1884,22.50,22.74,20.75,18.58,999.90,12.98,13.26,14.49,15.48,17.89,19.03,21.81,22.44,18.23,13.58,17.47,17.93
1885,23.00,23.12,21.08,18.64,16.06,12.95,12.09,14.39,17.02,18.76,19.81,21.99,22.64,18.59,13.14,18.53,18.23
1886,23.17,23.15,20.72,19.06,15.30,12.61,12.62,13.76,15.53,18.02,20.92,21.17,22.77,18.36,13.00,18.16,18.07
1887,23.47,22.08,22.27,18.94,14.13,11.95,12.65,13.17,14.80,18.08,18.46,21.06,22.24,18.45,12.59,17.11,17.60
1888,22.36,22.03,20.32,18.75,14.29,13.66,12.31,12.88,15.29,17.51,20.85,21.85,21.82,17.79,12.95,17.88,17.61
1889,22.71,22.33,21.54,19.06,16.67,13.74,11.87,13.17,14.60,17.95,20.03,22.77,22.30,19.09,12.93,17.53,17.96
1890,22.49,22.25,21.31,18.08,15.46,14.46,11.10,12.77,15.84,19.43,19.63,20.55,22.50,18.28,12.78,18.30,17.97
1891,23.50,21.06,21.15,18.21,14.89,13.79,11.77,13.18,14.58,17.39,19.37,22.36,21.70,18.08,12.91,17.11,17.45
1892,21.89,22.67,21.61,17.56,15.28,12.33,11.88,12.92,14.86,17.44,19.62,20.56,22.31,18.15,12.38,17.31,17.54
1893,21.19,21.62,20.25,17.12,15.03,12.68,12.05,13.43,15.68,18.38,20.06,21.39,21.12,17.47,12.72,18.04,17.34
1894,22.90,22.33,21.01,18.92,14.18,13.09,11.61,13.12,14.13,18.04,22.26,22.04,22.21,18.04,12.61,18.14,17.75
1895,21.31,21.79,20.96,18.49,14.68,12.94,10.35,14.25,15.95,19.09,19.62,23.11,21.71,18.04,12.51,18.22,17.62
1896,25.05,22.56,20.93,18.51,15.37,12.50,10.41,11.78,14.86,19.28,19.05,22.16,23.57,18.27,11.56,17.73,17.78
1897,22.23,22.31,20.44,19.98,15.22,13.75,12.63,12.95,16.05,18.06,21.78,21.21,22.23,18.55,13.11,18.63,18.13
1898,23.08,22.79,21.63,18.42,14.01,12.99,11.80,13.19,16.62,19.17,21.20,20.38,22.36,18.02,12.66,19.00,18.01
1899,22.41,21.77,21.55,18.90,14.58,12.76,11.49,12.77,16.95,16.97,20.09,22.55,21.52,18.34,12.34,18.00,17.55
1900,22.96,22.98,21.75,17.58,14.52,13.68,11.08,12.46,14.39,18.60,19.76,21.73,22.83,17.95,12.41,17.58,17.69
1901,21.60,22.15,21.11,18.73,15.37,11.09,10.54,12.47,17.04,18.05,20.48,21.42,21.83,18.40,11.37,18.52,17.53
1902,22.12,22.63,20.58,17.83,14.91,13.05,11.93,12.14,15.43,17.84,21.35,22.41,22.06,17.77,12.37,18.21,17.60
1903,22.02,23.40,22.83,18.79,14.94,12.42,11.33,12.52,15.94,16.46,999.90,21.13,22.61,18.85,12.09,17.17,17.68
1904,22.03,21.32,19.91,18.37,15.69,11.29,11.96,12.99,14.55,17.99,21.52,22.69,21.49,17.99,12.08,18.02,17.40
1905,22.88,22.11,21.19,19.19,15.66,12.84,11.32,12.82,13.61,15.37,999.90,20.37,22.56,18.68,12.33,15.46,17.26
1906,22.07,22.80,20.41,20.19,16.21,13.65,12.55,12.90,14.77,18.72,18.99,21.25,21.75,18.94,13.03,17.49,17.80
1907,22.41,21.65,20.18,18.42,15.14,12.50,11.56,999.90,16.71,18.78,19.56,21.91,21.77,17.91,12.27,18.35,17.58
1908,23.58,22.33,21.36,18.32,15.85,11.06,11.06,12.50,14.63,17.07,20.37,22.62,22.61,18.51,11.54,17.36,17.50
1909,22.53,20.58,21.17,17.58,15.00,13.27,10.82,12.62,14.24,18.34,19.83,21.48,21.91,17.92,12.24,17.47,17.38
1910,22.16,22.30,20.41,18.60,15.88,13.21,12.07,14.38,16.16,17.23,19.04,21.52,21.98,18.30,13.22,17.48,17.74
1911,21.63,22.21,20.56,17.50,15.53,11.89,12.03,13.27,16.22,17.68,20.74,23.12,21.79,17.86,12.40,18.21,17.56
1912,22.12,22.54,21.11,17.96,14.38,12.88,11.87,13.27,16.60,18.61,20.42,21.53,22.59,17.82,12.67,18.54,17.91
1913,23.07,23.35,21.25,18.75,14.58,12.26,12.47,13.43,15.77,19.10,19.89,21.54,22.65,18.19,12.72,18.25,17.95
1914,23.09,22.64,21.76,20.42,16.05,13.41,999.90,14.37,15.73,18.84,22.23,22.93,22.42,19.41,13.55,18.93,18.58
1915,22.72,23.97,22.38,18.20,14.71,13.15,999.90,13.47,16.76,18.03,20.63,19.89,23.21,18.43,12.97,18.47,18.27
1916,23.35,22.67,20.63,18.32,15.54,13.60,12.12,13.36,15.96,17.11,18.34,20.93,21.97,18.16,13.03,17.14,17.57
1917,23.72,21.41,21.15,16.65,13.95,12.86,12.47,12.69,16.08,17.66,18.76,21.59,22.02,17.25,12.67,17.50,17.36
1918,21.58,21.40,20.34,17.94,16.45,13.53,11.93,14.24,15.35,17.28,19.36,21.84,21.52,18.24,13.23,17.33,17.58
1919,22.93,23.45,21.61,19.46,17.33,14.40,12.84,13.67,16.61,17.84,19.86,21.91,22.74,19.47,13.64,18.10,18.49
1920,21.19,21.83,19.91,17.66,15.32,13.91,12.68,12.92,15.37,17.84,20.89,21.38,21.64,17.63,13.17,18.03,17.62
1921,21.62,22.39,21.28,19.18,16.76,14.44,14.32,13.02,17.01,16.76,20.91,20.97,21.80,19.07,13.93,18.23,18.26
1922,21.90,22.42,21.24,20.84,15.87,13.47,12.57,13.20,15.56,18.79,20.55,22.75,21.76,19.32,13.08,18.30,18.11
1923,22.43,22.71,22.50,18.48,17.26,14.35,12.47,13.25,16.08,17.70,18.73,22.42,22.63,19.41,13.36,17.50,18.23
1924,22.63,23.06,20.99,17.89,15.44,12.86,13.07,13.53,16.18,18.38,18.85,18.70,22.70,18.11,13.15,17.80,17.94
1925,20.97,22.73,20.22,19.20,16.07,14.18,12.14,12.32,14.28,17.08,19.07,21.53,20.80,18.50,12.88,16.81,17.25
