YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1883,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,6.25,999.90,999.90,999.90,999.90,999.90
1884,3.85,3.85,7.10,12.39,16.30,20.89,24.65,25.20,23.70,17.05,8.70,4.65,4.65,11.93,23.58,16.48,14.16
1885,1.70,3.25,5.80,11.70,15.89,21.35,24.25,26.45,23.30,17.39,11.90,7.24,3.20,11.13,24.02,17.53,13.97
1886,3.95,3.19,8.00,13.65,17.39,22.05,26.35,27.80,24.70,17.95,11.75,6.00,4.79,13.01,25.40,18.13,15.34
1887,3.55,5.70,8.05,13.39,16.14,21.55,24.95,26.69,22.50,17.95,13.20,7.30,5.08,12.53,24.40,17.88,14.97
1888,4.64,3.50,8.25,13.75,17.00,19.64,25.94,26.94,22.25,16.40,12.90,6.70,5.15,13.00,24.17,17.18,14.88
1889,3.54,4.25,8.10,13.20,16.75,22.10,24.70,27.10,21.65,16.15,11.05,6.50,4.83,12.68,24.63,16.28,14.61
1890,4.60,7.20,10.15,15.14,16.95,23.15,24.60,26.85,25.50,17.25,12.14,10.65,6.10,14.08,24.87,18.30,15.84
1891,3.95,4.95,9.90,13.00,19.05,21.40,26.15,26.75,25.60,17.70,11.70,7.05,6.52,13.98,24.77,18.33,15.90
1892,5.05,5.15,6.30,13.95,17.55,22.20,27.00,27.75,24.25,17.70,11.20,4.59,5.75,12.60,25.65,17.72,15.43
1893,3.85,3.45,7.30,14.30,16.65,21.65,26.60,27.60,23.75,17.14,11.35,6.15,3.96,12.75,25.28,17.41,14.85
1894,4.30,4.84,9.45,15.00,17.05,24.85,28.25,28.40,23.25,16.80,13.05,7.15,5.10,13.83,27.17,17.70,15.95
1895,3.45,5.00,8.10,13.85,18.39,21.50,23.50,27.19,24.35,18.00,11.30,7.10,5.20,13.45,24.06,17.88,15.15
1896,4.64,4.90,7.15,14.75,17.64,22.85,25.50,27.40,23.65,17.25,12.05,6.24,5.55,13.18,25.25,17.65,15.41
1897,4.75,4.55,6.85,12.20,18.35,20.10,24.20,26.40,22.15,16.70,11.40,5.10,5.18,12.47,23.57,16.75,14.49
